id,geoname,latitude,longitude,country
30.2/ 5140,"Sinaloa, Mochicahue",23.634501,-102.552784,Mexico
30.2/ 5564,"Sonora, Guaymas",23.634501,-102.552784,Mexico
30.2/ 5808,"Sinaloa, Mazatlán",23.634501,-102.552784,Mexico
30.2/ 5806 B,"Chihuahua, Canyon Del Cobre",23.634501,-102.552784,Mexico
30.2/ 7617,"Veracruz, San Cristobal",23.634501,-102.552784,Mexico
30.2/ 9916,"Uloa Valley, United Fruit Co.",15.199999,-86.241905,Honduras
30.3/ 1468,"Oaxaca, Between Quiengola And The River, Tehuantepec, San Pablo",23.634501,-102.552784,Mexico
30.3/ 1883 E,Tehuiztla,23.634501,-102.552784,Mexico
30.3/ 2559,"West Mexico, Nayarít",23.634501,-102.552784,Mexico
50.1/ 9627,"Baracoa, Jauco",21.521757,-77.781167,Cuba
65 / 718,Ranch Ocota,23.634501,-102.552784,Mexico
65 / 1139,"Chiapas, Bachajon",23.634501,-102.552784,Mexico
65 / 2142,"Quiché, Sacahaja",15.783471,-90.230759,Guatemala
65 / 6078,"Quetzaltenango, Zunil",15.783471,-90.230759,Guatemala
MCAE/ 4,Hidalgo,23.634501,-102.552784,Mexico
65 / 5033,"Buenos Aires, Puntarenas, Salitre",9.748917,-83.753428,Costa Rica
65 / 5218,"Puebla, Panhuatlan, Atla",23.634501,-102.552784,Mexico
65 / 5641,"Puebla, Cuetzalan",23.634501,-102.552784,Mexico
65 / 6037,"Coahuila, Saltillo",23.634501,-102.552784,Mexico
65 / 5326,"Veraguas Province, Quebrada Querque",8.537981,-80.782127,Panama
65 / 5469,"Oaxaca, San Augustin Loxicha",23.634501,-102.552784,Mexico
65 / 6016,"Oaxaca, Astata",23.634501,-102.552784,Mexico
65 / 6139,"Sacatepéquez, San Antonio Aguas Calientes",15.783471,-90.230759,Guatemala
MCAA/ 0740 A,"Oaxaca, Santa Teresa",23.634501,-102.552784,Mexico
MCAA/ 0764 F,"Oaxaca, Cerro Bomba",23.634501,-102.552784,Mexico
30.0/ 3527,Ometepe Island,12.865416,-85.207229,Nicaragua
30.2/ 3384,"Oaxaca, Achiutla",23.634501,-102.552784,Mexico
30 / 502,"Texcoco, Cave At Coatlinchan",23.634501,-102.552784,Mexico
30.1/ 9355,"Guerrero, Texca",23.634501,-102.552784,Mexico
30 / 1769,"Nayarít, Rancho Mezpa",23.634501,-102.552784,Mexico
30 / 1773,"Nayarít, Terrero",23.634501,-102.552784,Mexico
30 / 1757,"Nayarít, Rancho Mexpan",23.634501,-102.552784,Mexico
30 / 3757,San Juan Tornaguac,23.634501,-102.552784,Mexico
30 / 5793,"Guerrero, Ahuehuepan",23.634501,-102.552784,Mexico
30 / 5847,"Jalisco, Guadalajara, Tala",23.634501,-102.552784,Mexico
30 / 6211,"Jalisco, San Juan Cosala",23.634501,-102.552784,Mexico
30 / 6222,"Jalisco, Mexiquitre",23.634501,-102.552784,Mexico
30 / 6236,"Jalisco, Huejucan",23.634501,-102.552784,Mexico
30 / 6313,"Jalisco, Nostic, Boscas",23.634501,-102.552784,Mexico
30 /11173,"Oaxaca, Zimatlán",23.634501,-102.552784,Mexico
30 / 7517,"Tlaplan, San Fernando, Pyramid",23.634501,-102.552784,Mexico
30.0/ 1202,Highlands Of Costa Rica,9.748917,-83.753428,Costa Rica
MCAA/ 0959 B,Quirigua,15.783471,-90.230759,Guatemala
MCAA/ 0764 G,"Oaxaca, San Dionisio",23.634501,-102.552784,Mexico
65 / 3287,Sinaloa,23.634501,-102.552784,Mexico
30.0/ 6530,"El Peten, Holmul",15.783471,-90.230759,Guatemala
30.0/ 6709,"Puebla, San Cristobal",23.634501,-102.552784,Mexico
30.1/ 1474 E,"Toledo District, Wild Cane Cay",17.189877,-88.49765,Belize
30.1/ 1504,"Toledo District, Frenchman'S Cay",17.189877,-88.49765,Belize
30.1/ 2229,Valle Del Brayo,23.634501,-102.552784,Mexico
30.1/ 5215,"North Coast Honduras, The Sico River",15.199999,-86.241905,Honduras
30.1/ 6321,Tlaltelolco,23.634501,-102.552784,Mexico
30.1/ 6326,"Mixcoac, San Pedro De Los Pinos",23.634501,-102.552784,Mexico
30.2/ 9708,Kaminaljuyu,15.783471,-90.230759,Guatemala
30.2/ 4510,"Veracruz, Mata De Palacho",23.634501,-102.552784,Mexico
30.2/ 5771,"Sinaloa, Mouth Of Sinaloa River",23.634501,-102.552784,Mexico
30.2/ 5543,"Sonora, Batuc",23.634501,-102.552784,Mexico
